repo,verdict,match_ratio,type_ratio,n_gt,phantoms,missed,type_errors,path_ambiguities,has_compose,has_compose_build,selected_compose,port_verifiable,port_ok,entry_verifiable,entry_ok
emreyeprem_mern-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,0,,0,0,1,1
esteveslima_xswords,correct,1.0000,1.0000,4,0,0,0,0,1,1,deployments/docker-compose.yml,4,1,3,0
express-groomer-a-be,mostly_correct,0.5000,1.0000,2,0,1,0,0,1,0,,0,0,1,1
express-groomer-c-be,correct,1.0000,1.0000,1,0,0,0,0,1,0,,0,0,1,1
express-react-app,correct,1.0000,1.0000,2,0,0,0,0,0,0,,0,0,1,0
express-react-ts-auth,mostly_correct,0.5000,1.0000,2,1,1,0,0,1,1,docker-compose.yml,0,0,0,0
faizanabuzar_mern-web-app-containerization,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,1,0,0
fibonaccy,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,1,1
filament-tracker,correct,1.0000,1.0000,1,0,0,0,0,0,0,,0,0,0,0
financial_tracker,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,0,0,1,0
fullstack-mern-ts,mostly_correct,1.0000,1.0000,2,1,0,0,0,1,1,docker-compose.yml,0,0,1,0
fullstack-react-node-docker-example,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,1
fullstackreacttemplate,correct,1.0000,1.0000,3,0,0,0,0,1,1,docker-compose.yml,2,1,2,1
gaabgonca_mern-docker,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,1
generator-create-express-react-app,wrong,0.0000,1.0000,1,1,1,0,0,0,0,,0,0,0,0
german,mostly_correct,0.5000,1.0000,2,1,1,0,0,1,1,docker-compose.yml,0,0,0,0
ghouse-shkh_mern-contact-app,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,1,1,1
gold-olar_taskie,correct,1.0000,1.0000,3,0,0,0,0,1,1,docker-compose.yaml,3,1,2,0
guardrails-challenge,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,1
hacksmiths-website,correct,1.0000,1.0000,1,0,0,0,0,1,0,,0,0,0,0
hemi93_docker-mern-example,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,1,1,1
him-b_Mern-stack-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
humphreydev5_simple-mern-app,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,1,1,0,0
hungdinhxuan_RentMeProject,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,0,1,0
iam-kvvardhan_Mern_docker_compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
iam-muthulakshmy_Mern-Docker-Compose,correct,1.0000,1.0000,0,0,0,0,0,0,0,,0,0,0,0
iam-rajani_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,0,0
iam-veeramalla_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
iam-yogeshreddy_Mern-Docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,MERN-docker-compose-compose/MERN-docker-compose-compose/docker-compose.yaml,2,2,0,0
iammadhukar177_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
id6-express-react-example,correct,1.0000,1.0000,1,0,0,0,0,1,0,,0,0,0,0
imkiran13_MERN-Docker-Compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
imkirti-jpg_docker-compose-MERN,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
iot,wrong,1.0000,1.0000,4,2,0,0,0,1,0,,0,0,0,0
isayakmondal_director-dashboard,correct,1.0000,1.0000,2,0,0,0,0,1,0,,0,0,1,1
ismailza_mern-stack-app,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,1
isomorphic-web-app,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,1,1,0
itp-project-happy-tails,correct,1.0000,1.0000,2,0,0,0,0,1,1,Implementation/docker-compose.yml,2,1,0,0
j-jebenston_MERN-docker-compose,correct,1.0000,1.0000,0,0,0,0,0,0,0,,0,0,0,0
javascript-fullstack,correct,1.0000,1.0000,2,0,0,0,0,0,0,,0,0,1,1
jayjagadishb_MERN-Docker_Compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
jpraveen97_Docker-Compose-MERN,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
js-e2e-express-mongodb,correct,1.0000,1.0000,1,0,0,0,0,1,1,.devcontainer/docker-compose.yml,0,0,1,1
js-e2e-express-react-mongodb,correct,1.0000,1.0000,3,0,0,0,0,1,1,example.devcontainer/docker-compose.yml,0,0,1,1
juanportal,correct,1.0000,1.0000,3,0,0,0,0,1,1,docker-compose.yml,0,0,0,0
kadamnagesh2002-sudo_MERN-docker-compose,correct,1.0000,1.0000,0,0,0,0,0,0,0,,0,0,0,0
kaviara-14_Dockerize-a-Three-Tier-MERN-Stack-Application,correct,1.0000,1.0000,0,0,0,0,0,0,0,,0,0,0,0
khachornchit_MERN-Stack.js,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,1,1,0
kritika-kanwar1_MERN-docker-compose,correct,1.0000,1.0000,0,0,0,0,0,0,0,,0,0,0,0
kshyam-kumar_DockerCompose-MERN,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,1
kv-gokul-07_MERN-DOCKER-COMPOSE,correct,1.0000,1.0000,0,0,0,0,0,0,0,,0,0,0,0
leju-b_MERN-Docker-Compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,0,0
lijoxavier_MERN-Docker-Compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,mern/docker-compose.yaml,2,2,0,0
littlelink-server,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,1,1,0
lmas3009_Dockerized-MERN-Stack,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,1
loke815_MERN-docker-compose,correct,1.0000,1.0000,0,0,0,0,0,0,0,,0,0,0,0
lthompsonINTL_MERN-docker-compose,correct,1.0000,1.0000,4,0,0,0,0,1,1,docker-compose.yaml,2,2,2,0
madlibs_against_humanity,correct,1.0000,1.0000,2,0,0,0,0,0,0,,0,0,1,1
maharshi97_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
mallidevops1_mern-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,1,1,1,1
mba-fullstack-rocketseat,correct,1.0000,1.0000,9,0,0,0,0,1,0,,0,0,1,0
mdarif_project-management,correct,1.0000,1.0000,4,0,0,0,0,1,1,docker-compose.yml,2,2,2,2
mern-crud,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,1
mern-docker-aws,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,0
mern-ecommerce,correct,1.0000,1.0000,2,0,0,0,0,0,0,,0,0,1,1
mern-ecommerce-930,correct,1.0000,1.0000,2,0,0,0,0,0,0,,0,0,1,1
mern-example,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,0,0,0
mern-io-heroku,correct,1.0000,1.0000,1,0,0,0,0,1,0,,0,0,1,1
mern-starter,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,1,1,1
mernstack,correct,1.0000,1.0000,2,0,0,0,0,0,0,,0,0,1,1
mightomi_content-microservice,correct,1.0000,1.0000,4,0,0,0,0,1,1,docker-compose.yml,4,4,3,1
mini-task-manager,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,1,1,1
mishrlaksh_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
mnnkhndlwl_mern_youtube_clone,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,1,1,1
mohangopi08_MERN-Docker-Compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
mohankumaronly_Authentication_using_MERN,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,1,1,1
mohdazeem3_Multi-tier-mern-stack-project-using-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
mono-package-project,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,1,1,1
moonpatel_ChessHub,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,1
mrmonarch20_MERN-Docker-compose,correct,1.0000,1.0000,0,0,0,0,0,0,0,,0,0,0,0
namitagrawal2001_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
neon-local-example-react-express-application,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,0,0,1,1
nerrd-stack,correct,1.0000,1.0000,1,0,0,0,0,0,0,,0,0,1,0
nguyenchanh0201_ecommerce_mern_microservices,correct,1.0000,1.0000,6,0,0,0,0,1,1,docker-compose.yml,6,6,4,3
nicksands1_mern-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,0,,0,0,1,1
nirmal-bandari_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,MERN-Docker-Compose/iam-veeramalla-MERN-docker-compose-a1dde1f/docker-compose.yaml,2,2,0,0
njwest_MERN-Docker-ExRates,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,0
node-boiler,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker/docker-compose.yml,0,0,0,0
node-elassandra-demo,correct,1.0000,1.0000,1,0,0,0,0,1,0,,0,0,0,0
node-express-react-space-api,mostly_correct,1.0000,1.0000,2,1,0,0,0,0,0,,0,0,1,1
node-frontend,correct,1.0000,1.0000,1,0,0,0,0,0,0,,0,0,1,1
node-js-docker,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,0,1,1
node-mongo-docker-boilerplate,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,1,1,1
node-mongo-react-micro,correct,1.0000,1.0000,4,0,0,0,0,1,1,docker-compose.yml,4,4,4,4
node-react,correct,1.0000,1.0000,2,0,0,0,0,0,0,,0,0,1,1
node-react-docker,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,1
node-react-docker-boilerplate,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,0,1,0
node-react-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,1
node-react-docker-hello-world,correct,1.0000,1.0000,3,0,0,0,0,1,1,docker-compose.yml,2,1,2,1
node-react-docker-simple,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,1
node-react-docker-template,correct,1.0000,1.0000,1,0,0,0,0,0,0,,0,0,1,1
node-react-mongo-auth,correct,1.0000,1.0000,2,0,0,0,0,1,1,api-server/docker-compose.yml,1,0,1,1
node-react-webpack-docker-starterkit,correct,1.0000,1.0000,1,0,0,0,0,0,0,,0,0,0,0
node9000,correct,1.0000,1.0000,1,0,0,0,0,0,0,,0,0,1,1
nodeReactDocker,correct,1.0000,1.0000,2,0,0,0,0,0,0,,0,0,0,0
nodejs-react-webpack-docker-starter,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,1,1,0
nourmaatouk_mern-app,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,1
oayoade_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,mern/docker-compose.yml,2,2,0,0
omm_playground,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,0
oovg-react-port,correct,1.0000,1.0000,1,0,0,0,0,0,0,,0,0,1,1
parammohith_docker-compose-mern,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
pmihsan_CSAU-Mern-Stack-Instagram,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,1,1,1
pradipmengal_Mern-Docker-compose,correct,1.0000,1.0000,0,0,0,0,0,0,0,,0,0,0,0
prashant169_DevOps,wrong,0.0000,1.0000,4,2,4,0,4,1,1,DockerCompose-Project/docker-compose.yml,0,0,0,0
prathameshsb_book-store,correct,1.0000,1.0000,0,0,0,0,0,0,0,,0,0,0,0
praveenmethraskar_invoice-application,mostly_correct,1.0000,1.0000,2,1,0,0,0,1,1,docker-compose.yml,0,0,1,0
ptavaressilva_MERN_app_CI-CD_pipeline,correct,1.0000,1.0000,0,0,0,0,0,0,0,,0,0,0,0
questions-and-answers,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,1,1,1
rachrev_Mern-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
rd-code-23_todo-list-fullstack,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,1,1,1
react-admin,correct,1.0000,1.0000,1,0,0,0,0,1,0,,0,0,1,1
react-and-node-express-on-docker,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,1
react-app-express,correct,1.0000,1.0000,2,0,0,0,0,0,0,,0,0,1,0
react-django-task-app,mostly_correct,1.0000,1.0000,2,1,0,0,0,1,1,docker-compose.yaml,1,0,1,0
react-express-app,correct,1.0000,1.0000,2,0,0,0,0,0,0,,0,0,1,1
react-express-docker,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,1
react-express-docker-skeleton,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,1,1,1
react-express-docker-starter,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,1,0,1,0
react-express-project,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,1,1,1
react-fastapi-task-app,mostly_correct,1.0000,1.0000,1,1,0,0,0,1,1,docker-compose.yaml,1,0,1,0
react-hooks-uikit-express-oauth-boiler-v2,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,0,1,0
react-js-node-js-mongodb,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,1,1,1,1
react-mern-app,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,0,1,0
react-node-Dockerfile,correct,1.0000,1.0000,1,0,0,0,0,0,0,,0,0,1,1
react-node-docker,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,1
react-node-docker-application-serverless,correct,1.0000,1.0000,4,0,0,0,0,0,0,,0,0,3,3
react-node-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,1
react-node-docker-postgres,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,1,1,0
react-node-mongo-in-docker,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,0,0,1,1
react-node-mysql-docker-boilerplate,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,1,1,1
react-node-mysql-docker-template,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,0,0,2,2
react-node-webpack,correct,1.0000,1.0000,1,0,0,0,0,0,0,,0,0,1,1
react-nodejs-docker,correct,1.0000,1.0000,2,0,0,0,0,0,0,,0,0,1,0
react-nodejs-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,1,1,0
react-nodes-docker,correct,1.0000,1.0000,2,0,0,0,0,0,0,,0,0,1,0
react-redux-node-todos,correct,1.0000,1.0000,2,0,0,0,0,1,0,,0,0,2,1
react-springboot-java-task-app,mostly_correct,1.0000,1.0000,1,1,0,0,0,1,1,docker-compose.yaml,1,0,1,0
react-springboot-kotlin-task-app,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yaml,1,0,1,0
react-ssr-seo-app,correct,1.0000,1.0000,1,0,0,0,0,0,0,,0,0,1,1
react-tachyons-node6-docker-image,correct,1.0000,1.0000,1,0,0,0,0,0,0,,0,0,0,0
react-task-app,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yaml,1,0,1,0
react_node_docker,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,1,1
react_node_mysql_docker,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,1
reactjs_nodejs_ts_docker,mostly_correct,1.0000,0.5000,2,0,0,1,0,1,1,docker-compose.yml,0,0,1,0
reactor-api,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,0,1,1
redact,correct,1.0000,1.0000,1,0,0,0,0,1,0,,0,0,1,1
retmod,correct,1.0000,1.0000,2,0,0,0,0,0,0,,0,0,1,0
riachaudhari_mern-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
ridaelbardai_MERN-DockerCompose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,1,0
ritwikrick_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
rohith200_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
rpsls-game,mostly_correct,0.5000,1.0000,2,1,1,0,0,1,1,docker-compose.yml,1,1,0,0
rssenal,correct,1.0000,1.0000,1,0,0,0,0,1,0,,0,0,1,0
rudrojuu_mern-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
sabat-12067_sabat-mern-docker-nginx,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,0,0,1,1
sabat-12067_sabat-mern-docker-nginx-2,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,0,0,1,1
sabil,correct,1.0000,1.0000,3,0,0,0,0,1,1,docker-compose.yml,2,1,1,0
sabzo_NodeAPI,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,1,1,1
saga-birla_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
sampleDockerNode,wrong,0.0000,1.0000,2,1,2,0,0,1,1,docker-compose.yml,0,0,0,0
sergioAD97_mern_mysql_contenedor,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,1,1,1
shantodeveloperhero_Mern-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
shashiarjunnk_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
shivangi792004_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
shop-ecommerce.mern-project,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,1,1,1
shopify-app-examples,wrong,0.3333,1.0000,3,1,2,0,0,0,0,,0,0,0,0
shubham00k_MERN-Docker-Compose-,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
shubhmh_MERN-Docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,mern/docker-compose.yaml,2,2,0,0
sidpalas_mern-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,0,,0,0,1,1
simmi0707_Mernstack-Docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
simply-ssr,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,0,0,0
smitpatel1234_MERN-docker-compose,correct,1.0000,1.0000,0,0,0,0,0,0,0,,0,0,0,0
social-network-starter-kit,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,1,0,1,0
social-pulse,correct,1.0000,1.0000,1,0,0,0,0,1,0,,0,0,1,1
spa-starter-kit,correct,1.0000,1.0000,1,0,0,0,0,1,0,,0,0,1,1
sreekanth1619_mern-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
ssr-app,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,1,1,1
ssr-ts-node-react-docker,correct,1.0000,1.0000,1,0,0,0,0,0,0,,0,0,1,0
sssssqew_MERN-Project,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,0,0,1,1
steve2030_Mern-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
subinchaliyath_MERN_Docker_GitHub-Actions,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,0
suffiyan13_MERN-Docker-Compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
suguslove10_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
sujaykundu777_mern-docker,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,0
sumankarki9_mern-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,0
sumonaust_docker-compose-mern,correct,1.0000,1.0000,0,0,0,0,0,0,0,,0,0,0,0
sunigup_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
surendarm2209_MernDockerCompose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
syuChen1_Shoppingfy-MERN,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,0,0,1,1
t-ho_mern-stack,mostly_correct,1.0000,1.0000,3,1,0,0,0,1,1,docker-compose.yml,0,0,1,1
taofeeklanre_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
tech-interview-tcit,correct,1.0000,1.0000,2,0,0,0,0,1,0,,0,0,1,1
thejagithub_MERN-Docker-Compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
tiwaribytez_MERN-docker-compose,correct,1.0000,1.0000,0,0,0,0,0,0,0,,0,0,0,0
todo-app,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,1
trello-app,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,1,1,1
ui369server,correct,1.0000,1.0000,1,0,0,0,0,1,0,,0,0,1,0
utkarsh0p_e_commerce,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,1,1,1
vite-express-turborepo-docker-boilerplate,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,0,0,0,0
vite-react-express-docker,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,1,1,1
vite-react-express-docker-bpcopy,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,1,1,1
vite-ts-react-ssr-express-docker,mostly_correct,0.5000,1.0000,2,1,1,0,0,1,0,,0,0,0,0
vite-vanilla-poc,correct,1.0000,1.0000,1,0,0,0,0,0,0,,0,0,1,0
vite02,correct,1.0000,1.0000,3,0,0,0,0,0,0,,0,0,1,1
vivekamin_docker-react-express,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,1
vue3-vite-express-js-boilerplate,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,1,1,0
weaponsforge_todo-next,correct,1.0000,1.0000,0,0,0,0,0,0,0,,0,0,0,0
weatherapp,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker/docker-compose.yml,1,1,1,1
web-app-template,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yaml,0,0,1,0
whalephant,mostly_correct,1.0000,1.0000,1,1,0,0,0,1,1,templates/docker-compose.yml,0,0,1,0
wharley_docker-money,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,1,1,1
woobie-the-pond_docker-compose-mern,correct,1.0000,1.0000,2,0,0,0,0,1,0,,0,0,1,1
xk-app,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,1,1,0
xlvg-arjun_-MATRIX-MERN,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,0,0,0,0
yasheela-alla_MERN-Docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,MERN-docker-compose/docker-compose.yaml,2,2,0,0
yosh-avd_mern-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
